accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.7645661234855652,0.8766441345214844,0.953762948513031,0.3178630471229553,0.8551609516143799,0.8949152827262878,0.9005874395370483,0.391899049282074,0.5157894492149353,0.6086956262588501,0.0010000000474974513
0.8366875648498535,0.922402024269104,0.7231489419937134,0.41298162937164307,0.8862375020980835,0.8654237389564514,0.9131834506988525,0.38867664337158203,0.4422188103199005,0.8913043737411499,0.0010000000474974513
0.8558231592178345,0.937762975692749,0.6354517936706543,0.4475773274898529,0.9073252081871033,0.8755932450294495,0.9091408252716064,0.3647445738315582,0.46205732226371765,0.850931704044342,0.0010000000474974513
0.8754206299781799,0.9499604105949402,0.5666387677192688,0.4874708652496338,0.9284128546714783,0.8884745836257935,0.9120597243309021,0.3600775897502899,0.49364790320396423,0.8447204828262329,0.0010000000474974513
0.8901352882385254,0.9595587253570557,0.5032511949539185,0.5208017230033875,0.9517202973365784,0.8905084729194641,0.9088135361671448,0.3776151239871979,0.4990619122982025,0.8260869383811951,0.0010000000474974513
0.8948202133178711,0.9606314301490784,0.491667777299881,0.5325000286102295,0.9456160068511963,0.8942372798919678,0.9173698425292969,0.36366894841194153,0.5090579986572266,0.8726708292961121,0.0010000000474974513
0.9030023217201233,0.9658111929893494,0.4604569971561432,0.5535829663276672,0.9517202973365784,0.9030508399009705,0.9143911600112915,0.33998948335647583,0.5373443961143494,0.804347813129425,0.0010000000474974513
0.9101946353912354,0.9706990718841553,0.4277436137199402,0.5728925466537476,0.961709201335907,0.8793220520019531,0.9066343307495117,0.3944600224494934,0.46909090876579285,0.8012422323226929,0.0010000000474974513
0.9149455428123474,0.9739084839820862,0.4060332477092743,0.5865092873573303,0.9650388360023499,0.8732203245162964,0.9161720871925354,0.4224240183830261,0.45578232407569885,0.8322981595993042,0.0010000000474974513
0.9171230792999268,0.9757168889045715,0.3909823000431061,0.5927309989929199,0.9683684706687927,0.8867796659469604,0.9146742224693298,0.4042327404022217,0.48867926001548767,0.804347813129425,0.0010000000474974513
0.9237215518951416,0.9779917001724243,0.37671592831611633,0.6133333444595337,0.9700332880020142,0.9013559222221375,0.9168256521224976,0.33816030621528625,0.5334773063659668,0.7670807242393494,0.0010000000474974513
0.9243153929710388,0.9781619310379028,0.3683486878871918,0.6147110462188721,0.9739178419113159,0.8918644189834595,0.9382899403572083,0.35047534108161926,0.5028355121612549,0.8260869383811951,0.0010000000474974513
0.9317057132720947,0.9811233282089233,0.34783679246902466,0.6393025517463684,0.9766925573348999,0.9027118682861328,0.915693461894989,0.360221266746521,0.5368421077728271,0.7919254899024963,0.0010000000474974513
0.9394919276237488,0.985232412815094,0.3153625726699829,0.6672967672348022,0.9794672727584839,0.9183050990104675,0.9192120432853699,0.33008354902267456,0.604651153087616,0.7267080545425415,0.0010000000474974513
0.9338831901550293,0.9839656352996826,0.3352319002151489,0.6479290127754211,0.9722530245780945,0.9206779599189758,0.8972005844116211,0.3530476689338684,0.625,0.6832298040390015,0.0010000000474974513
0.9427251815795898,0.985994279384613,0.3133094608783722,0.6801697611808777,0.9783573746681213,0.9138982892036438,0.9177253842353821,0.3513924181461334,0.5758928656578064,0.8012422323226929,0.0010000000474974513
0.9414714574813843,0.986043393611908,0.314569890499115,0.6757587194442749,0.976137638092041,0.9040678143501282,0.9247342944145203,0.35383740067481995,0.5432372689247131,0.760869562625885,0.0010000000474974513
0.946948230266571,0.9877079725265503,0.296800434589386,0.6967665553092957,0.9805771112442017,0.8742372989654541,0.9045061469078064,0.42249780893325806,0.4555353820323944,0.7795031070709229,0.0010000000474974513
0.9478060007095337,0.9887017607688904,0.2918284237384796,0.7011539936065674,0.9778024554252625,0.9016948938369751,0.9191585183143616,0.3880089223384857,0.5325203537940979,0.8136646151542664,0.0010000000474974513
