longitude latitude
125.790000 13.000000
124.830000 14.090000
126.750000 3.660000
118.310000 4.960000
104.160000 32.750000
124.020000 6.260000
125.870000 10.060000
122.940000 7.250000
104.250000 32.570000
104.180000 32.490000
124.070000 6.920000
126.380000 8.480000
123.580000 7.030000
121.910000 15.320000
125.960000 12.960000
126.550000 5.040000
123.030000 8.390000
125.980000 0.500000
126.120000 9.220000
123.740000 6.770000
127.170000 2.590000
122.330000 16.770000
122.350000 16.810000
126.760000 3.780000
123.260000 7.190000
126.880000 2.000000
121.150000 16.000000
120.820000 15.700000
124.650000 13.310000
124.930000 4.650000
126.440000 1.440000
134.960000 0.510000
122.360000 16.880000
119.870000 17.440000
126.450000 1.590000
121.570000 11.570000
123.580000 6.830000
125.470000 11.800000
125.290000 10.000000
126.830000 2.510000
139.260000 34.810000
126.420000 1.670000
125.660000 4.830000
126.890000 6.140000
123.780000 6.780000
127.760000 3.310000
127.410000 5.140000
123.990000 6.410000
124.590000 4.720000
122.720000 24.660000
127.250000 3.570000
121.220000 19.300000
126.610000 4.700000
122.400000 8.250000
126.320000 7.860000
126.640000 8.510000
126.200000 0.560000
121.510000 22.280000
121.460000 23.510000
120.490000 16.460000
125.330000 24.880000
126.450000 3.950000
121.710000 24.120000
126.120000 10.840000
123.980000 6.680000
123.860000 6.810000
126.430000 1.590000
126.040000 8.590000
122.210000 8.670000
124.290000 0.070000
123.490000 7.330000
126.020000 0.540000
126.740000 3.870000
126.000000 0.050000
127.300000 5.210000
124.730000 5.770000
125.920000 5.990000
125.420000 1.840000
124.700000 5.680000
124.600000 12.830000
120.400000 1.030000
121.480000 20.130000
126.120000 10.050000
123.270000 7.270000
123.690000 19.720000
126.930000 2.960000
122.540000 10.540000
123.620000 5.680000
128.270000 1.860000
125.610000 9.330000
125.640000 9.450000
125.990000 11.920000
126.010000 0.680000
126.040000 0.800000
126.120000 1.190000
119.240000 31.450000
131.800000 33.840000
124.540000 13.860000
128.100000 3.210000
122.100000 19.070000
125.000000 8.120000
131.240000 30.590000
128.090000 3.490000
126.290000 9.790000
126.250000 9.830000
127.590000 1.840000
126.020000 3.790000
126.580000 0.520000
125.920000 0.670000
125.300000 5.860000
121.450000 22.920000
126.130000 2.480000
126.850000 3.500000
124.500000 13.950000
125.990000 0.960000
126.190000 5.980000
126.020000 5.690000
126.470000 6.060000
126.040000 5.670000
128.530000 2.710000
128.110000 2.450000
121.820000 48.850000
132.310000 31.380000
130.580000 29.380000
126.880000 6.300000
126.940000 3.060000
121.440000 22.950000
130.130000 29.150000
121.960000 16.130000
125.370000 5.350000
126.300000 8.960000
126.570000 4.600000
126.610000 9.610000
126.530000 9.750000
126.660000 9.480000
126.730000 9.520000
126.550000 9.350000
126.540000 9.320000
125.230000 24.230000
126.620000 2.510000
126.200000 5.910000
139.960000 35.450000
123.280000 0.000000
121.910000 24.280000
125.500000 11.750000
124.590000 3.700000
122.320000 24.070000
126.710000 3.450000
131.750000 32.420000
123.890000 6.680000
126.190000 7.970000
121.150000 19.170000
119.150000 14.350000
126.230000 5.500000
127.130000 22.140000
123.390000 23.890000
126.590000 9.560000
128.130000 3.330000
130.220000 29.330000
121.450000 22.920000
129.410000 28.310000
121.450000 22.890000
125.630000 11.640000
129.490000 1.990000
128.000000 3.410000
123.450000 14.950000
127.010000 5.830000
126.590000 5.610000
127.440000 6.160000
124.560000 2.440000
121.830000 21.260000
124.940000 10.180000
120.250000 14.640000
130.470000 29.470000
127.040000 2.440000
126.270000 6.520000
123.210000 11.050000
128.340000 4.270000
122.660000 4.590000
126.550000 7.580000
126.320000 23.570000
121.510000 15.430000
120.880000 18.690000
127.380000 6.480000
128.550000 26.120000
124.320000 13.740000
124.270000 9.930000
124.360000 13.800000
131.630000 31.990000
123.510000 13.920000
123.370000 0.100000
126.570000 4.730000
135.740000 7.800000
124.520000 4.020000
124.550000 4.050000
126.070000 5.010000
120.600000 14.210000
126.660000 2.090000
125.920000 5.800000
128.410000 3.490000
139.480000 34.870000
126.670000 5.980000
126.770000 6.620000
126.330000 1.260000
121.900000 23.840000
127.840000 4.830000
126.460000 1.480000
126.630000 1.750000
139.450000 33.710000
121.420000 19.950000
126.810000 1.920000
122.200000 9.660000
126.800000 3.290000
124.580000 7.410000
124.130000 2.600000
127.290000 1.490000
126.440000 5.620000
124.020000 8.720000
126.320000 5.530000
126.670000 2.050000
126.760000 5.410000
126.570000 5.390000
126.610000 5.340000
122.940000 12.910000
126.700000 2.330000
121.960000 13.110000
125.950000 0.860000
126.980000 6.150000
121.690000 15.440000
128.350000 2.300000
128.090000 3.020000
122.620000 4.230000
125.510000 1.120000
127.280000 1.530000
122.490000 24.250000
123.340000 23.090000
122.550000 24.000000
128.270000 2.530000
126.490000 5.530000
103.440000 21.770000
126.540000 5.470000
126.500000 5.520000
123.890000 1.010000
127.490000 5.950000
120.070000 0.680000
128.450000 27.370000
138.910000 35.470000
120.950000 18.810000
119.860000 14.980000
120.900000 18.160000
126.620000 3.710000
131.430000 33.490000
125.960000 8.190000
122.370000 24.090000
126.680000 7.480000
122.220000 24.120000
121.440000 20.080000
122.580000 23.970000
121.080000 1.090000
128.330000 2.600000
126.710000 4.150000
120.900000 1.070000
122.150000 1.610000
120.810000 1.050000
115.210000 35.230000
128.290000 1.420000
128.190000 1.390000
128.280000 1.440000
128.250000 1.410000
126.220000 11.260000
123.060000 4.250000
125.810000 6.340000
126.550000 1.960000
131.830000 32.460000
137.260000 8.110000
128.160000 1.320000
126.930000 6.510000
130.310000 29.240000
123.860000 12.370000
121.960000 2.960000
123.770000 8.140000
125.970000 3.680000
122.600000 3.400000
123.350000 0.000000
125.510000 5.080000
123.050000 9.010000
126.590000 2.430000
122.420000 24.890000
126.020000 5.530000
126.590000 9.100000
127.080000 2.260000
128.060000 2.420000
119.910000 0.830000
127.220000 8.880000
126.760000 2.620000
124.780000 13.240000
127.320000 1.540000
125.960000 11.740000
125.710000 11.820000
127.660000 2.720000
126.610000 2.910000
126.610000 2.920000
138.910000 11.500000
126.500000 5.520000
126.460000 1.310000
126.470000 1.200000
126.590000 1.250000
123.610000 6.700000
131.810000 32.400000
126.470000 6.560000
128.610000 27.430000
125.680000 4.600000
122.600000 11.970000
128.560000 26.070000
125.740000 1.400000
126.320000 1.620000
125.650000 5.700000
126.020000 8.290000
126.090000 8.220000
125.170000 10.330000
125.250000 10.410000
125.250000 5.210000
126.490000 11.970000
124.440000 7.580000
122.360000 20.160000
125.360000 0.380000
125.470000 5.320000
122.140000 24.940000
123.640000 0.160000
122.380000 16.580000
122.460000 24.110000
125.270000 25.680000
128.580000 2.780000
125.930000 6.550000
123.430000 0.060000
128.500000 27.460000
130.310000 29.200000
122.810000 1.190000
126.400000 5.830000
127.330000 2.930000
128.860000 2.050000
125.560000 10.360000
123.570000 7.710000
122.710000 1.130000
127.500000 1.810000
127.990000 4.510000
126.570000 1.660000
127.240000 4.690000
120.600000 15.290000
120.830000 16.480000
126.410000 1.570000
126.750000 2.340000
127.500000 4.920000
126.830000 6.180000
127.540000 4.930000
124.250000 9.400000
126.470000 8.250000
123.460000 7.450000
120.370000 0.130000
120.220000 16.890000
128.190000 2.810000
128.870000 2.770000
128.120000 1.420000
128.570000 2.070000
137.070000 7.730000
126.730000 2.360000
125.220000 24.110000
126.700000 3.650000
123.550000 0.070000
126.020000 5.940000
124.320000 0.520000
127.350000 1.690000
122.300000 24.070000
122.910000 24.730000
130.000000 28.510000
126.490000 1.960000
125.810000 6.180000
130.050000 28.710000
125.510000 4.590000
127.010000 1.490000
121.600000 24.030000
126.700000 8.990000
130.630000 29.770000
123.380000 24.040000
125.900000 10.390000
121.760000 23.960000
126.730000 5.780000
125.270000 5.710000
126.590000 1.960000
126.880000 24.330000
125.500000 5.640000
126.360000 1.880000
120.340000 14.090000
128.260000 2.000000
121.670000 22.250000
121.400000 20.090000
126.640000 1.820000
126.570000 1.890000
126.550000 1.840000
126.570000 1.780000
127.090000 2.290000
126.590000 1.760000
126.590000 8.340000
126.510000 2.050000
126.850000 2.100000
127.730000 0.910000
125.870000 0.480000
128.640000 26.540000
126.860000 3.640000
127.270000 2.870000
128.040000 2.980000
126.790000 9.250000
125.310000 5.710000
126.240000 8.930000
126.740000 2.360000
121.820000 23.960000
121.670000 23.820000
130.970000 30.060000
124.370000 0.820000
126.530000 4.800000
125.780000 2.780000
121.350000 0.660000
121.780000 23.990000
103.270000 34.260000
126.590000 1.650000
126.230000 1.250000
126.540000 1.550000
121.040000 18.800000
126.240000 0.690000
126.150000 0.760000
126.200000 0.810000
138.940000 10.710000
126.610000 2.110000
131.700000 31.970000
131.320000 30.690000
128.460000 1.200000
128.440000 1.030000
123.980000 8.960000
126.410000 5.600000
125.870000 5.870000
126.090000 6.880000
129.250000 28.650000
127.720000 4.500000
126.800000 7.110000
122.210000 0.790000
125.420000 8.330000
125.200000 24.220000
125.420000 8.050000
127.540000 5.370000
127.550000 5.210000
126.170000 10.700000
121.430000 20.410000
127.370000 3.940000
126.020000 10.380000
121.270000 17.260000
126.940000 2.330000
123.870000 22.200000
125.030000 4.370000
126.670000 3.840000
130.700000 29.310000
126.500000 4.070000
125.610000 4.010000
123.590000 0.150000
126.100000 0.500000
125.690000 5.880000
127.040000 2.320000
121.860000 21.270000
130.430000 30.210000
126.280000 5.910000
127.770000 4.820000
126.680000 5.620000
126.240000 6.880000
124.770000 12.810000
124.950000 0.310000
125.420000 3.680000
127.810000 4.260000
125.500000 11.310000
121.040000 23.200000
121.180000 19.300000
125.770000 6.290000
124.690000 4.230000
126.390000 5.360000
127.190000 1.830000
126.680000 3.770000
126.230000 1.350000
124.600000 13.420000
124.640000 13.440000
131.210000 30.390000
120.370000 13.290000
121.670000 23.910000
126.670000 1.710000
126.680000 3.830000
127.290000 1.900000
124.790000 13.710000
