event_id,year,longitude,latitude,depth,magnitude,mb,ms,strike1,dip1,rake1,distance_to_boundary,boundary_type,plate1,plate2,segment_id,relative_velocity,movement_direction,convergence_rate,transform_rate,extension_rate,boundary_motion_type,grid_cell,is_near_boundary,fault_type,fault_type_code
B100477B,1977,139.74,36.09,66.0,5.4,5.4,0.0,36.0,230.0,83.0,1.1889477742945689,CCB,OK,PS,75,1.6462277035437527,113.12884716763217,0.4938683110631258,0.8231138517718763,0.32924554070875056,transform,319_126,0,reverse,1
B101677A,1977,153.91,47.05,33.0,5.6,5.6,5.6,75.0,277.0,120.0,0.6732941407735533,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,333_137,1,reverse,1
B102077A,1977,154.09,47.15,44.0,5.4,5.4,5.4,79.0,314.0,123.0,0.646469457901902,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,334_137,1,reverse,1
B102077B,1977,164.13,56.43,40.0,5.2,5.2,4.9,1.0,98.0,189.0,0.999934497854728,:CTF,AT,EU,98,5.291956213231745,57.956076050230465,1.5875868639695234,2.6459781066158725,1.058391242646349,transform,344_146,1,strike-slip,0
B102677C,1977,178.33,51.15,33.0,5.6,5.6,5.2,54.0,19.0,169.0,0.5570378891960536,:OSR,PA,JF,63,0.0,0.0,0.0,0.0,0.0,unknown,358_141,1,strike-slip,0
B110677A,1977,159.81,53.55,67.0,5.2,5.2,0.0,62.0,98.0,292.0,1.7954560534861257,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,339_143,0,normal,2
B110877A,1977,154.31,47.39,33.0,5.5,5.5,4.6,76.0,319.0,123.0,0.6435174900497944,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,334_137,1,reverse,1
B111777B,1977,139.87,33.64,112.0,5.5,5.5,0.0,42.0,59.0,315.0,1.0739086367098472,CCB,OK,PS,75,1.8934146369819476,115.43418639741635,0.5680243910945842,0.9467073184909738,0.37868292739638953,transform,319_123,0,normal,2
B112777C,1977,153.28,46.42,33.0,5.7,5.5,5.7,81.0,264.0,130.0,0.5785492978130694,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,333_136,1,reverse,1
B120277B,1977,159.71,52.93,15.0,5.8,5.8,5.1,80.0,284.0,123.0,1.4560132004895987,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,339_142,0,reverse,1
B121077C,1977,152.84,47.59,128.0,5.2,5.2,0.0,15.0,219.0,121.0,1.777223958875185,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,332_137,0,reverse,1
B121677A,1977,140.99,36.62,46.0,5.6,5.6,5.4,74.0,298.0,115.0,1.7048376579604245,:OSR,,EU,59,0.0,0.0,0.0,0.0,0.0,unknown,320_126,0,reverse,1
B122077A,1977,153.02,48.59,140.0,5.8,5.8,0.0,37.0,116.0,305.0,2.3919228164804833,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,333_138,0,normal,2
B122177B,1977,159.8,52.93,33.0,5.5,5.5,5.0,83.0,288.0,126.0,1.3804978956883487,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,339_142,0,reverse,1
B122377B,1977,143.16,39.13,19.0,5.9,5.6,5.9,58.0,321.0,114.0,0.9842250555640246,:OSR,,EU,59,0.0,0.0,0.0,0.0,0.0,unknown,323_129,1,reverse,1
B011078A,1978,152.27,46.83,61.0,5.6,5.6,0.0,66.0,113.0,307.0,1.4366351276507128,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,332_136,0,normal,2
B011378A,1978,149.7,44.69,52.0,6.0,6.0,6.0,71.0,323.0,132.0,0.81297463675075,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,329_134,1,reverse,1
D011478B,1978,139.26,34.81,14.0,6.6,6.2,6.6,50.0,286.0,139.0,0.17621296774075357,CCB,OK,PS,75,1.7846400821762645,114.45797770526246,0.5353920246528793,0.8923200410881322,0.3569280164352529,transform,319_124,1,reverse,1
B011478A,1978,149.69,44.46,51.0,5.4,5.4,5.3,71.0,313.0,133.0,0.7039259620158951,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,329_134,1,reverse,1
B011478E,1978,138.8,34.8,10.0,5.7,5.5,5.7,9.0,258.0,167.0,0.26550271185056473,:OSR,NZ,PA,74,0.0,0.0,0.0,0.0,0.0,unknown,318_124,1,strike-slip,0
B012478A,1978,149.72,44.73,56.0,5.9,5.7,5.9,70.0,317.0,129.0,0.8231499012938044,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,329_134,1,reverse,1
B012978A,1978,149.15,45.97,146.0,5.5,5.5,0.0,46.0,358.0,103.0,2.1427514461551507,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,329_135,0,reverse,1
B020978B,1978,149.9,44.43,45.0,5.7,5.7,5.7,72.0,278.0,127.0,0.501573284775012,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,329_134,1,reverse,1
C022078A,1978,141.95,38.79,60.0,6.1,6.1,0.0,61.0,97.0,288.0,2.0685070098987093,:OSR,,EU,59,0.0,0.0,0.0,0.0,0.0,unknown,321_128,0,normal,2
B022678A,1978,155.64,49.31,44.0,5.3,5.3,4.5,69.0,258.0,123.0,1.3337724093712677,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,335_139,0,reverse,1
B030178A,1978,141.73,34.79,32.0,5.4,5.4,5.3,56.0,286.0,116.0,0.2897338261232197,:OSR,,EU,59,0.0,0.0,0.0,0.0,0.0,unknown,321_124,1,reverse,1
B030278A,1978,164.63,55.07,33.0,5.5,5.4,5.5,10.0,106.0,197.0,0.24465894629055673,:OSR,PA,JF,63,0.0,0.0,0.0,0.0,0.0,unknown,344_145,1,strike-slip,0
B030378A,1978,164.76,55.1,33.0,6.2,5.5,6.2,4.0,104.0,194.0,0.1673857819529581,:OSR,PA,JF,63,0.0,0.0,0.0,0.0,0.0,unknown,344_145,1,strike-slip,0
B030678C,1978,133.97,38.25,417.0,5.1,5.1,0.0,42.0,145.0,256.0,3.873713277980188,:CCB,OK,AM,101,0.5020525449222433,80.10999617265239,0.15061576347667296,0.25102627246112164,0.10041050898444866,transform,313_128,0,normal,2
C030778A,1978,137.61,31.96,442.0,6.9,6.9,0.0,57.0,46.0,254.0,1.2370023282112321,:OSR,NZ,PA,74,0.0,0.0,0.0,0.0,0.0,unknown,317_121,0,normal,2
B032078A,1978,139.68,36.05,66.0,5.7,5.7,0.0,71.0,312.0,145.0,1.1278319068017157,CCB,OK,PS,75,1.6513111206973425,113.18044661642813,0.49539333620920273,0.8256555603486713,0.33026222413946854,transform,319_126,0,reverse,1
C032278A,1978,149.0,46.03,33.0,6.7,6.3,6.7,52.0,311.0,128.0,2.277739177342308,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,329_136,0,reverse,1
C032278B,1978,149.03,44.14,33.0,6.6,6.0,6.6,68.0,326.0,132.0,0.5049170723990255,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,329_134,1,reverse,1
C032378B,1978,148.97,44.21,46.0,6.8,6.1,6.8,65.0,303.0,130.0,0.5965662159391908,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,328_134,1,reverse,1
C032378C,1978,148.44,44.93,33.0,7.5,6.4,7.5,56.0,312.0,132.0,1.4904802078524935,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,328_134,0,reverse,1
B032378E,1978,149.06,44.32,48.0,5.9,5.7,5.9,82.0,263.0,135.0,0.6499240340224396,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,329_134,1,reverse,1
C032378D,1978,149.74,44.34,33.0,6.8,6.0,6.8,62.0,322.0,131.0,0.6181324777100695,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,329_134,1,reverse,1
Z032478A,1978,148.86,44.24,33.0,7.6,6.5,7.6,63.0,309.0,131.0,0.6879543952908469,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,328_134,1,reverse,1
B032578B,1978,148.71,44.05,46.0,5.4,5.4,4.9,84.0,305.0,125.0,0.6853986066516303,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,328_134,1,reverse,1
B032578C,1978,148.45,43.77,47.0,5.6,5.6,5.6,70.0,312.0,128.0,0.5727620884800231,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,328_133,1,reverse,1
B032878A,1978,154.92,48.76,53.0,5.8,5.7,5.8,78.0,317.0,122.0,1.3220201057472596,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,334_138,0,reverse,1
B040578A,1978,144.45,39.64,30.0,5.4,5.4,4.9,14.0,338.0,248.0,0.22945988756207308,:OSR,,EU,59,0.0,0.0,0.0,0.0,0.0,unknown,324_129,1,normal,2
B040678A,1978,141.03,35.21,31.0,5.9,5.6,5.9,46.0,327.0,174.0,0.6990566858274097,CCB,OK,PS,75,1.7123973466240554,113.6609748279993,0.5137192039872166,0.8561986733120277,0.3424794693248111,transform,321_125,1,strike-slip,0
B042078A,1978,151.9,46.78,96.0,5.5,5.5,0.0,40.0,74.0,308.0,1.588914878147972,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,331_136,0,normal,2
B051078B,1978,141.78,37.32,40.0,5.5,5.5,5.0,69.0,301.0,113.0,1.4980780487010625,:OSR,,EU,59,0.0,0.0,0.0,0.0,0.0,unknown,321_127,0,reverse,1
B051278B,1978,141.4,36.26,37.0,5.3,5.3,5.1,75.0,287.0,113.0,1.1954615384862741,:OSR,,EU,59,0.0,0.0,0.0,0.0,0.0,unknown,321_126,0,reverse,1
B051678A,1978,141.26,40.99,32.0,5.7,5.7,4.3,75.0,224.0,317.0,2.5125993094801156,:CCB,OK,AM,101,0.4771393027873385,75.49192809556797,0.14314179083620154,0.23856965139366926,0.09542786055746771,transform,321_130,0,normal,2
B051678B,1978,141.26,41.0,23.0,5.8,5.8,4.6,66.0,38.0,295.0,2.513445700626921,:CCB,OK,AM,101,0.47708339910810604,75.4827611710484,0.1431250197324318,0.23854169955405302,0.09541667982162122,transform,321_131,0,normal,2
B051878C,1978,122.53,40.67,33.0,5.4,5.4,5.2,18.0,342.0,243.0,1.2070133760650725,:CRB*,AM,EU,102,0.5235150212446564,77.46278828235396,0.15705450637339693,0.2617575106223282,0.1047030042489313,transform,302_130,0,normal,2
B052278B,1978,139.03,43.44,31.0,5.6,5.6,5.3,82.0,241.0,103.0,0.33741049183450883,:CCB,OK,AM,101,0.46648572358152496,73.88818037183007,0.1399457170744575,0.23324286179076248,0.093297144716305,transform,319_133,1,reverse,1
C052378A,1978,130.14,31.06,161.0,6.3,6.3,0.0,65.0,279.0,122.0,0.9604547672847478,:CRB,AM,ON,155,0.0,0.0,0.0,0.0,0.0,unknown,310_121,1,reverse,1
B052378E,1978,144.7,42.74,78.0,5.6,5.6,0.0,36.0,25.0,142.0,1.3879495668071118,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,324_132,0,reverse,1
B060378A,1978,132.6,35.1,4.0,5.2,5.2,4.9,5.0,29.0,298.0,3.45416869304323,:CRB,AM,ON,155,0.0,0.0,0.0,0.0,0.0,unknown,312_125,0,normal,2
B060578A,1978,160.3,60.15,33.0,5.1,5.1,4.2,65.0,42.0,255.0,1.164505405740999,:CTF,OK,,99,0.0,0.0,0.0,0.0,0.0,unknown,340_150,0,normal,2
B060678A,1978,157.64,51.18,66.0,5.4,5.4,0.0,76.0,331.0,138.0,1.6627390534897661,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,337_141,0,reverse,1
C061278A,1978,142.03,38.19,44.0,7.7,6.8,7.7,56.0,315.0,120.0,1.8419090667022595,:OSR,,EU,59,0.0,0.0,0.0,0.0,0.0,unknown,322_128,0,reverse,1
B061478B,1978,142.36,38.32,40.0,6.3,6.0,6.3,60.0,320.0,112.0,1.5755933009504541,:OSR,,EU,59,0.0,0.0,0.0,0.0,0.0,unknown,322_128,0,reverse,1
B061578B,1978,135.37,43.35,375.0,5.2,5.2,0.0,37.0,57.0,301.0,3.246852662194558,:CCB,OK,AM,101,0.47231981894598896,74.95993031737714,0.14169594568379668,0.23615990947299448,0.0944639637891978,transform,315_133,0,normal,2
